HawkA,https://www.pro-football-reference.com/players/H/HawkA.20.htm,Aaron James Hawk,"6-1, 240lb","January 6, 1984",https://www.pro-football-reference.com/req/20180910/images/headshots/HawkA.20_2019.jpg,LB,Ohio St.,FA/R
RodgAa00,https://www.pro-football-reference.com/players/R/RodgAa00.htm,Aaron Charles Rodgers,"6-2, 225lb","December 2, 1983",https://www.pro-football-reference.com/req/20180910/images/headshots/RodgAa00_2019.jpg,QB,Butte JC (CA),gnb
